성구분,카테고리명,상품명,CategoryID,ProductID,pink_cossim,blue_cossim,파일명
boy,boy-Figure,포포베 미니카피규어(미국블랙),C10100030005,8803035862078,0.3301750735517609,-0.6224427382362072,C10100030005-8803035862078.png
boy,boy-Figure,대한민국육군 K2 흑표 (1:35),C10100030005,8809258925996,0.06488235003619999,0.5900393288332764,C10100030005-8809258925996.png
boy,boy-Car/Train,타요 고속열차,C10100030004,8809128851936,-0.15141042560660997,-0.17938282603140585,C10100030004-8809128851936.png
girl,girl-Doll,실바니안 클래식아기방세트(5166),C10100020002,5054131051665,0.590257519422134,-0.7340911318940603,C10100020002-5054131051665.png
girl,girl-Doll,미판매상품 안내페이지,C10100020002,5054131050248,0.18792111364523523,0.07940228554031194,C10100020002-5054131050248.png
boy,boy-Action,다이노코어4 에볼루션트레온,C10100030002,8809398340482,0.24041010198323753,-0.07241806509369844,C10100030002-8809398340482.png
boy,boy-Car/Train,[시쿠] 립헬 엑스커베이터,C10100030004,L000000467944,-0.44864320908866256,0.3338861188189315,C10100030004-L000000467944.png
boy,boy-Action,미니특공대X 특공엑스 머신레이봇,C10100030002,8809556745135,0.3540916209764483,-0.43528835058492443,C10100030002-8809556745135.png
girl,girl-Deco,마더스픽 키즈 선팩트,C10100020003,8809506802116,0.7102094429118918,-0.6895454861229765,C10100020003-8809506802116.png
girl,girl-Doll,디즈니 몬스터주식회사 마이크 가방고리인형(16cm),C10100020002,L000001462826,-0.22018010241852704,-0.08904167389295974,C10100020002-L000001462826.png
girl,girl-Deco,[멜리사앤더그] 직접 꾸미는 하트 상자,C10100020003,L000000553496,0.6235155051034809,-0.3669257051342918,C10100020003-L000000553496.png
boy,boy-Action,미판매상품 안내페이지,C10100030002,8807633300963,-0.2702524392656336,-0.130256514756513,C10100030002-8807633300963.png
girl,girl-DIY,차밍 초콜릿 파티시엘,C10100020004,8809182325145,0.42826193354434605,-0.3695286052834756,C10100020004-8809182325145.png
girl,girl-RolePlay,코코밍 냉장고세트,C10100020001,8809482991279,0.3746894101589607,-0.3362017539094022,C10100020001-8809482991279.png
boy,boy-Action,미판매상품 안내페이지,C10100030002,8807633300413,0.12130583038551247,-0.5777991932843182,C10100030002-8807633300413.png
boy,boy-RolePlay,미판매상품 안내페이지,C10100030001,8809058640464,0.42661649228778203,-0.6486746921020202,C10100030001-8809058640464.png
girl,girl-Doll,미판매상품 안내페이지,C10100020002,8711915017039,0.2331849032143966,-0.0821793406502211,C10100020002-8711915017039.png
girl,girl-Deco,헤이지니 썬스틱 공주화이트1호,C10100020003,8809556745494,0.366664188226609,-0.7924312350165063,C10100020003-8809556745494.png
boy,boy-Action,미판매상품 안내페이지,C10100030002,L000002813769,0.2979303808974639,-0.5377116144040569,C10100030002-L000002813769.png
boy,boy-Action,영실업 스낵월드 트레져박스1탄,C10100030002,8801198041002,0.45439896519792755,0.09084986213696439,C10100030002-8801198041002.png
boy,boy-Figure,원피스 쵸파로봇 슈퍼 1호,C10100030005,4549660090625,0.17968617681433408,-0.21007111962150013,C10100030005-4549660090625.png
boy,boy-Car/Train,[브루더] 벤츠 아록스 티핑 트럭,C10100030004,L000000520868,0.359973504113831,0.3130688462478898,C10100030004-L000000520868.png
boy,boy-Figure,건담SD EX스탠다드 데스사이즈헬,C10100030005,4549660090670,0.11658718981917088,-0.2775666630716143,C10100030005-4549660090670.png
girl,girl-DIY,컬러룬 나팔 마스크 -백조,C10100020004,L000002669287,0.4458762360344964,-0.6928510262293959,C10100020004-L000002669287.png
boy,boy-Control,사슴벌레 무선조종,C10100030003,8809407120982,0.25767452347843683,0.24613149233715673,C10100030003-8809407120982.png
girl,girl-Doll,미판매상품 안내페이지,C10100020002,8809223827485,-0.2577258690267308,-0.3859145293246695,C10100020002-8809223827485.png
girl,girl-Doll,[우디즈패밀리] 컨트리하우스 (인형2개 포함),C10100020002,L000000577408,0.5781244889179364,-0.4458058298702586,C10100020002-L000000577408.png
boy,boy-Action,[슐라이히] 크로스보우를 든 용의 기사,C10100030002,L000000467873,0.5569044924388483,-0.20574218519156154,C10100030002-L000000467873.png
boy,boy-Control,DIY BLOCK RC 레드스톰,C10100030003,8809194423594,0.25668658374824926,-0.459926395773916,C10100030003-8809194423594.png
boy,boy-Car/Train,[시쿠] 립헬 T264 광산 덤프트럭,C10100030004,L000000525157,0.2782602730058901,-0.07598190557482225,C10100030004-L000000525157.png
girl,girl-Doll,페파피그 9인치 조지인형,C10100020002,L000002961175,0.3774417284689421,-0.226047037608099,C10100020002-L000002961175.png
